Time@[Altitude (Baro-Ft-AGL)],[Altitude (Baro-Ft-AGL)],bILBA,Time@[Velocity (Accel-Ft/Sec)],[Velocity (Accel-Ft/Sec)],bILBA
0.04375,0.80127,b0000,0,0,b0000
0.09375,0.80127,b0000,0.0025,0,b0000
0.14375,0.80127,b0000,0.005,0,b0000
0.19375,0.80127,b1000,0.0075,0,b0000
0.24375,0.80127,b1000,0.01,0,b0000
0.295,5.34381,b1100,0.0125,0,b0000
0.345,7.61505,b1100,0.015,0,b0000
0.395,12.1576,b1100,0.0175,0,b0000
0.445,17.8444,b1100,0.02,0,b0000
0.495,24.6582,b1100,0.0225,0,b0000
0.545,32.6077,b1100,0.025,0,b0000
0.595,43.9813,b1100,0.0275,0,b0000
0.645,55.3463,b1100,0.03,0,b0000
0.695,68.9999,b1100,0.0325,0,b0000
0.745,86.069,b1100,0.035,0,b0000
0.795,103.147,b1100,0.0375,0,b0000
0.845,122.513,b1100,0.04,0,b0000
0.895,145.313,b1100,0.0425,0,b0000
0.945,168.129,b1100,0.045,0,b0000
0.995,194.387,b1100,0.0475,0,b0000
1.045,220.663,b1100,0.05,0,b0000
1.095,249.245,b1100,0.0525,0,b0000
1.145,274.419,b1100,0.055,0,b0000
1.195,299.611,b1100,0.0575,0,b0000
1.245,328.253,b1100,0.06,0,b0000
1.295,362.669,b1100,0.0625,0,b0000
1.345,398.264,b1100,0.065,0,b0000
1.395,433.893,b1100,0.0675,0,b0000
1.445,471.872,b1100,0.07,0,b0000
1.495,513.344,b1100,0.0725,0,b0000
1.545,557.183,b1100,0.075,0,b0000
1.595,599.912,b1100,0.0775,0,b0000
1.645,643.855,b1100,0.08,0,b0000
1.695,689.02,b1100,0.0825,0,b0000
1.745,735.399,b1100,0.085,0,b0000
1.795,781.847,b1100,0.0875,0,b0000
1.845,828.356,b1100,0.09,0,b0000
1.895,877.266,b1100,0.0925,0,b0000
1.945,923.905,b1100,0.095,0,b0000
1.995,970.613,b1100,0.0975,0,b0000
2.045,1017.38,b1100,0.1,0,b0000
2.095,1064.22,b1100,0.1025,0,b0000
2.145,1111.12,b1100,0.105,0,b0000
2.195,1156.91,b1100,0.1075,0,b0000
2.245,1202.77,b1100,0.11,0,b0000
2.295,1246.32,b1100,0.1125,0,b0000
2.345,1287.58,b1100,0.115,0,b0000
2.395,1330.07,b1100,0.1175,0,b0000
2.445,1374.98,b1100,0.12,0,b0000
2.495,1415.21,b1100,0.1225,0,b0000
