Time@Velocity (Accel-Ft/Sec),Velocity (Accel-Ft/Sec),bILBA
0.04875,0,b0000
0.09875,0,b0000
0.14875,0,b0000
0.19875,0,b1000
0.24875,15.3,b1000
0.3,37,b1100
0.35,52,b1100
0.4,72.8,b1100
0.45,89.6,b1100
0.5,108.1,b1100
0.55,126.1,b1100
0.6,145.7,b1100
0.65,160.9,b1100
0.7,178.5,b1100
0.75,196.1,b1100
0.8,214.2,b1100
0.85,229.6,b1100
0.9,246.5,b1100
0.95,263.3,b1100
1,281.4,b1100
1.05,296.1,b1100
1.1,311.9,b1100
1.15,327.6,b1100
1.2,344.7,b1100
1.25,358.3,b1100
1.3,373.3,b1100
1.35,388,b1100
1.4,404.1,b1100
1.45,416.9,b1100
1.5,430.7,b1100
1.55,444.3,b1100
1.6,457.9,b1100
1.65,468.5,b1100
1.7,481.3,b1100
1.75,493.7,b1100
1.8,507.1,b1100
1.85,517.8,b1100
1.9,529.5,b1100
1.95,540.8,b1100
2,552.3,b1100
2.05,561.5,b1100
2.1,570.8,b1100
2.15,578.6,b1100
2.2,585.2,b1100
2.25,590,b1100
2.3,594,b1100
2.35,596.6,b1100
2.4,597.1,b1100
2.45,596.2,b1100
2.5,593.1,b1100
2.55,588.8,b1100
2.6,583.3,b1110
2.65,578.8,b1110
2.7,572.9,b1110
2.75,566.1,b1110
2.8,558,b1110
2.85,551.3,b1110
2.9,544.3,b1110
2.95,537.4,b1110
3,529.7,b1110
3.05,523.3,b1110
3.1,516.1,b1110
3.15,508.9,b1110
3.2,501,b1110
3.25,494.7,b1110
3.3,487.8,b1110
3.35,481,b1110
3.4,473.8,b1110
3.45,467.9,b1110
3.5,461.5,b1110
3.55,455.2,b1110
3.6,448.5,b1110
3.65,443.2,b1110
3.7,437.2,b1110
3.75,431.4,b1110
3.8,425.2,b1110
3.85,420.2,b1110
3.9,414.7,b1110
3.95,409.2,b1110
4,403.4,b1110
4.05,398.7,b1110
4.1,393.6,b1110
4.15,388.6,b1110
4.2,383.2,b1110
4.25,379,b1110
4.3,374.3,b1110
4.35,369.7,b1110
4.4,364.5,b1110
4.45,360.5,b1110
4.5,356.1,b1110
4.55,351.7,b1110
4.6,346.9,b1110
4.65,343.2,b1110
4.7,339,b1110
4.75,334.8,b1110
4.8,330.5,b1110
4.85,327,b1110
4.9,323,b1110
4.95,319.1,b1110
5,314.9,b1110
5.05,311.4,b1110
5.1,307.7,b1110
5.15,304,b1110
5.2,300.1,b1110
5.25,296.9,b1110
5.3,293.4,b1110
5.35,289.8,b1110
5.4,286,b1110
5.45,282.9,b1110
5.5,279.6,b1110
5.55,276.3,b1110
5.6,272.7,b1110
5.65,269.8,b1110
5.7,266.5,b1110
5.75,263.4,b1110
5.8,259.9,b1110
5.85,257.2,b1110
5.9,254.2,b1110
5.95,251.2,b1110
6,248,b1110
6.05,245.3,b1110
6.1,242.3,b1110
6.15,239.4,b1110
